Year,Month,electricity_consumption
1983,Jan,3285
1983,Feb,3021
1983,Mar,3258
1983,Apr,3793
1983,May,4150
1983,Jun,4686
1983,Jul,5205
1983,Aug,5260
1983,Sep,5201
1983,Oct,4815
1983,Nov,4144
1983,Dec,3708
1984,Jan,3728
1984,Feb,3395
1984,Mar,3661
1984,Apr,3939
1984,May,4431
1984,Jun,5016
1984,Jul,5458
1984,Aug,5665
1984,Sep,5389
1984,Oct,5053
1984,Nov,4433
1984,Dec,3999
1985,Jan,4081
1985,Feb,3452
1985,Mar,3652
1985,Apr,4102
1985,May,4934
1985,Jun,5196
1985,Jul,5623
1985,Aug,6137
1985,Sep,5456
1985,Oct,5463
1985,Nov,4958
1985,Dec,4288
1986,Jan,4449
1986,Feb,3647
1986,Mar,3815
1986,Apr,4962
1986,May,5338
1986,Jun,5923
1986,Jul,6593
1986,Aug,6577
1986,Sep,6664
1986,Oct,5861
1986,Nov,5042
1986,Dec,4723
1987,Jan,4563
1987,Feb,4402
1987,Mar,4886
1987,Apr,5314
1987,May,5764
1987,Jun,6286
1987,Jul,7397
1987,Aug,7124
1987,Sep,7496
1987,Oct,6468
1987,Nov,5769
1987,Dec,5156
1988,Jan,5142
1988,Feb,4512
1988,Mar,5047
1988,Apr,5535
1988,May,6426
1988,Jun,7330
1988,Jul,7913
1988,Aug,7806
1988,Sep,7928
1988,Oct,6782
1988,Nov,5839
1988,Dec,5375
1989,Jan,5571
1989,Feb,4703
1989,Mar,5319
1989,Apr,5904
1989,May,6550
1989,Jun,7471
1989,Jul,8373
1989,Aug,8422
1989,Sep,8763
1989,Oct,7491
1989,Nov,6448
1989,Dec,5576
1990,Jan,5557
1990,Feb,5188
1990,Mar,5761
1990,Apr,6163
1990,May,6736
1990,Jun,7924
1990,Jul,9143
1990,Aug,9407
1990,Sep,9188
1990,Oct,7845
1990,Nov,6930
1990,Dec,5957
1991,Jan,6247
1991,Feb,5229
1991,Mar,5704
1991,Apr,7019
1991,May,7536
1991,Jun,8913
1991,Jul,9590
1991,Aug,9815
1991,Sep,9292
1991,Oct,8612
1991,Nov,6944
1991,Dec,6238
1992,Jan,6612
1992,Feb,5619
1992,Mar,6252
1992,Apr,6732
1992,May,7816
1992,Jun,8390
1992,Jul,9733
1992,Aug,9802
1992,Sep,10604
1992,Oct,9020
1992,Nov,6864
1992,Dec,6709
1993,Jan,6453
1993,Feb,5948
1993,Mar,6716
1993,Apr,7362
1993,May,8192
1993,Jun,9343
1993,Jul,10812
1993,Aug,10783
1993,Sep,10673
1993,Oct,8722
1993,Nov,7664
1993,Dec,7141
1994,Jan,7096
1994,Feb,6200
1994,Mar,6812
1994,Apr,8000
1994,May,9345
1994,Jun,10153
1994,Jul,10693
1994,Aug,10547
1994,Sep,10974
1994,Oct,9546
1994,Nov,8010
1994,Dec,7677
1995,Jan,7270
1995,Feb,6559
1995,Mar,6991
1995,Apr,7611
1995,May,9103
1995,Jun,10904
1995,Jul,11287
1995,Aug,10868
1995,Sep,11322
1995,Oct,9834
1995,Nov,8534
1995,Dec,7196
1996,Jan,7578
1996,Feb,7030
1996,Mar,7451
1996,Apr,8118
1996,May,8844
1996,Jun,10572
1996,Jul,12181
1996,Aug,12544
1996,Sep,11673
1996,Oct,10660
1996,Nov,9492
1996,Dec,7740
1997,Jan,8014
1997,Feb,7085
1997,Mar,7106
1997,Apr,8893
1997,May,9844
1997,Jun,10554
1997,Jul,12254
1997,Aug,11892
1997,Sep,11892
1997,Oct,10962
1997,Nov,9076
1997,Dec,8494
1998,Jan,8044
1998,Feb,7901
1998,Mar,8053
1998,Apr,9535
1998,May,10485
1998,Jun,11873
1998,Jul,13279
1998,Aug,13795
1998,Sep,12643
1998,Oct,11621
1998,Nov,9381
1998,Dec,8840
1999,Jan,8092
1999,Feb,7868
1999,Mar,8161
1999,Apr,9958
1999,May,9569
1999,Jun,11886
1999,Jul,13276
1999,Aug,13617
1999,Sep,12364
1999,Oct,11855
1999,Nov,9529
1999,Dec,9115
2000,Jan,8473
2000,Feb,8258
2000,Mar,8696
2000,Apr,9123
2000,May,10996
2000,Jun,12757
2000,Jul,13486
2000,Aug,13871
2000,Sep,13406
2000,Oct,12519
2000,Nov,10070
2000,Dec,9020
2001,Jan,9008
2001,Feb,8461
2001,Mar,9137
2001,Apr,9386
2001,May,11719
2001,Jun,12490
2001,Jul,13619
2001,Aug,14271
2001,Sep,13590
2001,Oct,12857
2001,Nov,10488
2001,Dec,9113
2002,Jan,9040
2002,Feb,8497
2002,Mar,8763
2002,Apr,10801
2002,May,11913
2002,Jun,13010
2002,Jul,14673
2002,Aug,14442
2002,Sep,13495
2002,Oct,12605
2002,Nov,10309
2002,Dec,9565
2003,Jan,9178
2003,Feb,8781
2003,Mar,9176
2003,Apr,10004
2003,May,11887
2003,Jun,12723
2003,Jul,14442
2003,Aug,14900
2003,Sep,13991
2003,Oct,13809
2003,Nov,9786
2003,Dec,9759
2004,Jan,9215
2004,Feb,9038
2004,Mar,9636
2004,Apr,10482
2004,May,11467
2004,Jun,13430
2004,Jul,15164
2004,Aug,14845
2004,Sep,14402
2004,Oct,12423
2004,Nov,10856
2004,Dec,10243
2005,Jan,9343
2005,Feb,9224
2005,Mar,9401
2005,Apr,10592
2005,May,12610
2005,Jun,13721
2005,Jul,14713
2005,Aug,14876
2005,Sep,14938
2005,Oct,13320
2005,Nov,11528
2005,Dec,9905
2006,Jan,9267
2006,Feb,8653
2006,Mar,10336
2006,Apr,10919
2006,May,12966
2006,Jun,13766
2006,Jul,16013
2006,Aug,15759
2006,Sep,13861
2006,Oct,12710
2006,Nov,10752
2006,Dec,10202
2007,Jan,9351
2007,Feb,8897
2007,Mar,10514
2007,Apr,10548
2007,May,12662
2007,Jun,14963
2007,Jul,17718
2007,Aug,15089
2007,Sep,13815
2007,Oct,12796
2007,Nov,10394
2007,Dec,10324
2008,Jan,10336
2008,Feb,9424
2008,Mar,10375
2008,Apr,11254
2008,May,12682
2008,Jun,13431
2008,Jul,15180
2008,Aug,15078
2008,Sep,15255
2008,Oct,13286
2008,Nov,10904
2008,Dec,10138
2009,Jan,9830
2009,Feb,9590
2009,Mar,10662
2009,Apr,10584
2009,May,12545
2009,Jun,14499
2009,Jul,15925
2009,Aug,16325
2009,Sep,15492
2009,Oct,13109
2009,Nov,10773
2009,Dec,10031
2010,Jan,10391
2010,Feb,9592
2010,Mar,11162
2010,Apr,10751
2010,May,13188
2010,Jun,14185
2010,Jul,16368
2010,Aug,16110
2010,Sep,15033
2010,Oct,12719
2010,Nov,10639
2010,Dec,10566
2011,Jan,10611
2011,Feb,9178
2011,Mar,10491
2011,Apr,10913
2011,May,13333
2011,Jun,15225
2011,Jul,15942
2011,Aug,16669
2011,Sep,14758
2011,Oct,12444
2011,Nov,11438
2011,Dec,10428
2012,Jan,10387
2012,Feb,10016
2012,Mar,11023
2012,Apr,11617
2012,May,14791
2012,Jun,15024
2012,Jul,15937
2012,Aug,16553
2012,Sep,14797
2012,Oct,12861
2012,Nov,11227
2012,Dec,10680
2013,Jan,10641
2013,Feb,9396
2013,Mar,11004
2013,Apr,11173
2013,May,13904
2013,Jun,15390
2013,Jul,15845
2013,Aug,16224
2013,Sep,14701
2013,Oct,13143
2013,Nov,11149
2013,Dec,10629
2014,Jan,10521
2014,Feb,9669
2014,Mar,11010
2014,Apr,11370
2014,May,14362
2014,Jun,16047
2014,Jul,17255
2014,Aug,16593
2014,Sep,15870
2014,Oct,13515
2014,Nov,11197
2014,Dec,10559
2015,Jan,10578
2015,Feb,9449
2015,Mar,11067
2015,Apr,11491
2015,May,14740
2015,Jun,16564
2015,Jul,16445
2015,Aug,16561
2015,Sep,15099
2015,Oct,13463
2015,Nov,11928
2015,Dec,10698
2016,Jan,11000
2016,Feb,9895
2016,Mar,10739
2016,Apr,11925
2016,May,14249
2016,Jun,16243
2016,Jul,17026
2016,Aug,16084
2016,Sep,14997
2016,Oct,14154
2016,Nov,11466
2016,Dec,10722
2017,Jan,10543
2017,Feb,9559
2017,Mar,10916
2017,Apr,11449
2017,May,13518
2017,Jun,15969
2017,Jul,16349
2017,Aug,17083
2017,Sep,16259
2017,Oct,14086
2017,Nov,11270
2017,Dec,10601
2018,Jan,10954
2018,Feb,9787
2018,Mar,11151
2018,Apr,11593
2018,May,15627
2018,Jun,15784
2018,Jul,16746
2018,Aug,16580
2018,Sep,15109
2018,Oct,13014
2018,Nov,11688
2018,Dec,11082
2019,Jan,11032
2019,Feb,9828
2019,Mar,11505
2019,Apr,12560
2019,May,13946
2019,Jun,16133
2019,Jul,17337
2019,Aug,17048
2019,Sep,15656
2019,Oct,14209
2019,Nov,11276
2019,Dec,10760
2020,Jan,10765
2020,Feb,9889
2020,Mar,10993
2020,Apr,10535
2020,May,14903
2020,Jun,16531
2020,Jul,17801
2020,Aug,16297
2020,Sep,15782
2020,Oct,13076
2020,Nov,11557
2020,Dec,10621
2021,Jan,10814
2021,Feb,9445
2021,Mar,11508
2021,Apr,11949
2021,May,16415
2021,Jun,16305
2021,Jul,17578
2021,Aug,16971
2021,Sep,16993
2021,Oct,14016
2021,Nov,11501
2021,Dec,11082
2022,Jan,10873
2022,Feb,9841
2022,Mar,10904
2022,Apr,11748
2022,May,13414
2022,Jun,16042
2022,Jul,17948
2022,Aug,17076
2022,Sep,16456
2022,Oct,13713
2022,Nov,12017
2022,Dec,11121
2023,Jan,10986
2023,Feb,10005
2023,Mar,11447
2023,Apr,11902
2023,May,14515
2023,Jun,16575
2023,Jul,17596
2023,Aug,17402
2023,Sep,15663
2023,Oct,14076